scenario,epochs,method,seed,position,dateIndex,dateColumn
uniform_160,160,uniform,20276824,130,202,D20231110
uniform_160,160,uniform,20276824,131,204,D20231204
uniform_160,160,uniform,20276824,132,205,D20231216
uniform_160,160,uniform,20276824,133,207,D20240109
uniform_160,160,uniform,20276824,134,208,D20240121
uniform_160,160,uniform,20276824,135,210,D20240214
uniform_160,160,uniform,20276824,136,211,D20240226
uniform_160,160,uniform,20276824,137,213,D20240321
uniform_160,160,uniform,20276824,138,214,D20240402
uniform_160,160,uniform,20276824,139,216,D20240426
uniform_160,160,uniform,20276824,140,217,D20240508
uniform_160,160,uniform,20276824,141,219,D20240601
uniform_160,160,uniform,20276824,142,221,D20240625
uniform_160,160,uniform,20276824,143,222,D20240707
uniform_160,160,uniform,20276824,144,224,D20240731
uniform_160,160,uniform,20276824,145,225,D20240812
uniform_160,160,uniform,20276824,146,227,D20240905
uniform_160,160,uniform,20276824,147,228,D20240917
uniform_160,160,uniform,20276824,148,230,D20241011
uniform_160,160,uniform,20276824,149,231,D20241023
uniform_160,160,uniform,20276824,150,233,D20241116
uniform_160,160,uniform,20276824,151,235,D20241210
uniform_160,160,uniform,20276824,152,236,D20241222
uniform_160,160,uniform,20276824,153,238,D20250115
uniform_160,160,uniform,20276824,154,239,D20250127
uniform_160,160,uniform,20276824,155,241,D20250220
uniform_160,160,uniform,20276824,156,242,D20250304
uniform_160,160,uniform,20276824,157,244,D20250328
uniform_160,160,uniform,20276824,158,245,D20250409
uniform_160,160,uniform,20276824,159,247,D20250503
random_missing_160,160,random_missing,20276825,0,0,D20170322
random_missing_160,160,random_missing,20276825,1,1,D20170403
random_missing_160,160,random_missing,20276825,2,2,D20170415
random_missing_160,160,random_missing,20276825,3,4,D20170509
random_missing_160,160,random_missing,20276825,4,5,D20170521
random_missing_160,160,random_missing,20276825,5,6,D20170602
random_missing_160,160,random_missing,20276825,6,7,D20170614
random_missing_160,160,random_missing,20276825,7,8,D20170626
random_missing_160,160,random_missing,20276825,8,11,D20170801
random_missing_160,160,random_missing,20276825,9,12,D20170813
random_missing_160,160,random_missing,20276825,10,13,D20170825
random_missing_160,160,random_missing,20276825,11,14,D20170906
random_missing_160,160,random_missing,20276825,12,15,D20170918
random_missing_160,160,random_missing,20276825,13,17,D20171012
random_missing_160,160,random_missing,20276825,14,18,D20171024
random_missing_160,160,random_missing,20276825,15,19,D20171105
random_missing_160,160,random_missing,20276825,16,20,D20171117
random_missing_160,160,random_missing,20276825,17,22,D20171211
random_missing_160,160,random_missing,20276825,18,24,D20180104
random_missing_160,160,random_missing,20276825,19,25,D20180116
random_missing_160,160,random_missing,20276825,20,27,D20180209
random_missing_160,160,random_missing,20276825,21,28,D20180221
random_missing_160,160,random_missing,20276825,22,29,D20180305
random_missing_160,160,random_missing,20276825,23,30,D20180317
random_missing_160,160,random_missing,20276825,24,31,D20180329
random_missing_160,160,random_missing,20276825,25,32,D20180410
random_missing_160,160,random_missing,20276825,26,34,D20180504
random_missing_160,160,random_missing,20276825,27,36,D20180528
random_missing_160,160,random_missing,20276825,28,37,D20180609
random_missing_160,160,random_missing,20276825,29,42,D20180808
random_missing_160,160,random_missing,20276825,30,43,D20180820
random_missing_160,160,random_missing,20276825,31,44,D20180901
random_missing_160,160,random_missing,20276825,32,45,D20180913
random_missing_160,160,random_missing,20276825,33,46,D20180925
random_missing_160,160,random_missing,20276825,34,47,D20181007
